web-scraper-order,web-scraper-start-url,title,author,link,link-href
"1653744324-106","https://search.rsl.ru/ru/search#yf=2004&s=pubyear&vc=07.00.02&l=570&d=xref&q=(%22%D0%A0%D0%BE%D1%81.%20%D0%B3%D0%BE%D1%81.%20%D0%B3%D1%83%D0%BC%D0%B0%D0%BD%D0%B8%D1%82%D0%B0%D1%80.%20%D1%83%D0%BD-%D1%82%22%20OR%20%22%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9%20%D0%B3%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9%20%D0%B3%D1%83%D0%BC%D0%B0%D0%BD%D0%B8%D1%82%D0%B0%D1%80%D0%BD%D1%8B%D0%B9%20%D1%83%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82%22)","Формирование и деятельность органов городского самоуправления Смоленской губернии во второй половине XIX - начале XX вв. : автореферат дис. ... кандидата исторических наук : 07.00.02 / Купченко Константин Владимирович; [Место защиты: Брян. гос. пед. ун-т им. И.Г. Петровского]. - Брянск, 2010. - 26 с.","Купченко, Константин Владимирович.","Описание","https://search.rsl.ru/ru/record/01004612825"
"1653744324-187","https://search.rsl.ru/ru/search#yf=2004&s=pubyear&vc=07.00.02&l=570&d=xref&q=(%22%D0%A0%D0%BE%D1%81.%20%D0%B3%D0%BE%D1%81.%20%D0%B3%D1%83%D0%BC%D0%B0%D0%BD%D0%B8%D1%82%D0%B0%D1%80.%20%D1%83%D0%BD-%D1%82%22%20OR%20%22%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9%20%D0%B3%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9%20%D0%B3%D1%83%D0%BC%D0%B0%D0%BD%D0%B8%D1%82%D0%B0%D1%80%D0%BD%D1%8B%D0%B9%20%D1%83%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82%22)","Становление института государственной службы на Кавказе в конце XVIII - первой половине XIX века : автореферат дис. ... кандидата исторических наук : 07.00.02 / Чегарнова Вера Николаевна; [Место защиты: Рос. акад. нар. хоз-ва и гос. службы при Президенте РФ]. - Москва, 2015. - 30 с.","Чегарнова, Вера Николаевна.","Описание","https://search.rsl.ru/ru/record/01005563554"
"1653744324-29","https://search.rsl.ru/ru/search#yf=2004&s=pubyear&vc=07.00.02&l=570&d=xref&q=(%22%D0%A0%D0%BE%D1%81.%20%D0%B3%D0%BE%D1%81.%20%D0%B3%D1%83%D0%BC%D0%B0%D0%BD%D0%B8%D1%82%D0%B0%D1%80.%20%D1%83%D0%BD-%D1%82%22%20OR%20%22%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9%20%D0%B3%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9%20%D0%B3%D1%83%D0%BC%D0%B0%D0%BD%D0%B8%D1%82%D0%B0%D1%80%D0%BD%D1%8B%D0%B9%20%D1%83%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82%22)","КГБ СССР в борьбе с протестными проявлениями внутри советского общества в конце 1950-1980-е гг. : По материалам Мордовии : автореферат дис. ... кандидата исторических наук : 07.00.02 / Морд. гос. ун-т им. Н.П. Огарева. - Саранск, 2006. - 22 с.","Шустин, Виктор Валентинович.","Описание","https://search.rsl.ru/ru/record/01003273693"
"1653744324-43","https://search.rsl.ru/ru/search#yf=2004&s=pubyear&vc=07.00.02&l=570&d=xref&q=(%22%D0%A0%D0%BE%D1%81.%20%D0%B3%D0%BE%D1%81.%20%D0%B3%D1%83%D0%BC%D0%B0%D0%BD%D0%B8%D1%82%D0%B0%D1%80.%20%D1%83%D0%BD-%D1%82%22%20OR%20%22%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9%20%D0%B3%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9%20%D0%B3%D1%83%D0%BC%D0%B0%D0%BD%D0%B8%D1%82%D0%B0%D1%80%D0%BD%D1%8B%D0%B9%20%D1%83%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82%22)","Общественно-политическая жизнь в Сибири в 1985-1991 гг. : автореферат дис. ... доктора исторических наук : 07.00.02 / Величко Светлана Анатольевна; [Место защиты: Кемеров. гос. ун-т]. - Кемерово, 2007. - 44 с.","Величко, Светлана Анатольевна.","Описание","https://search.rsl.ru/ru/record/01003061008"
"1653744324-136","https://search.rsl.ru/ru/search#yf=2004&s=pubyear&vc=07.00.02&l=570&d=xref&q=(%22%D0%A0%D0%BE%D1%81.%20%D0%B3%D0%BE%D1%81.%20%D0%B3%D1%83%D0%BC%D0%B0%D0%BD%D0%B8%D1%82%D0%B0%D1%80.%20%D1%83%D0%BD-%D1%82%22%20OR%20%22%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9%20%D0%B3%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9%20%D0%B3%D1%83%D0%BC%D0%B0%D0%BD%D0%B8%D1%82%D0%B0%D1%80%D0%BD%D1%8B%D0%B9%20%D1%83%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82%22)","Реализация экономической стратегии развития Северного Кавказа в период Второго Кавказского наместничества : 1844-1882 гг. : автореферат дис. ... доктора исторических наук : 07.00.02 / Гранкин Юрий Юрьевич; [Место защиты: Пятигор. гос. гуманитарно-технол. ун-т]. - Пятигорск, 2011. - 44 с.","Гранкин, Юрий Юрьевич.","Описание","https://search.rsl.ru/ru/record/01005014308"
"1653744324-219","https://search.rsl.ru/ru/search#yf=2004&s=pubyear&vc=07.00.02&l=570&d=xref&q=(%22%D0%A0%D0%BE%D1%81.%20%D0%B3%D0%BE%D1%81.%20%D0%B3%D1%83%D0%BC%D0%B0%D0%BD%D0%B8%D1%82%D0%B0%D1%80.%20%D1%83%D0%BD-%D1%82%22%20OR%20%22%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9%20%D0%B3%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9%20%D0%B3%D1%83%D0%BC%D0%B0%D0%BD%D0%B8%D1%82%D0%B0%D1%80%D0%BD%D1%8B%D0%B9%20%D1%83%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82%22)","Формирование и развитие системы радиационной безопасности на Урале в 1945-2011 гг. : автореферат дис. ... кандидата исторических наук : 07.00.02 / Бочкарева Ирина Алексеевна; [Место защиты: Ин-т истории и археологии УрО РАН]. - Екатеринбург, 2018. - 29 с.","Бочкарева, Ирина Алексеевна.","Описание","https://search.rsl.ru/ru/record/01008707404"
"1653744324-185","https://search.rsl.ru/ru/search#yf=2004&s=pubyear&vc=07.00.02&l=570&d=xref&q=(%22%D0%A0%D0%BE%D1%81.%20%D0%B3%D0%BE%D1%81.%20%D0%B3%D1%83%D0%BC%D0%B0%D0%BD%D0%B8%D1%82%D0%B0%D1%80.%20%D1%83%D0%BD-%D1%82%22%20OR%20%22%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9%20%D0%B3%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9%20%D0%B3%D1%83%D0%BC%D0%B0%D0%BD%D0%B8%D1%82%D0%B0%D1%80%D0%BD%D1%8B%D0%B9%20%D1%83%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82%22)","Городское духовенство России XVIII в. : историко-генеалогическое исследование по материалам Тверской епархии : автореферат дис. ... доктора исторических наук : 07.00.02 / Матисон Андрей Викторович; [Место защиты: Ур. федер. ун-т имени первого Президента России Б.Н. Ельцина]. - Екатеринбург, 2015. - 41 с.","Матисон, Андрей Викторович.","Описание","https://search.rsl.ru/ru/record/01005562701"
"1653744324-140","https://search.rsl.ru/ru/search#yf=2004&s=pubyear&vc=07.00.02&l=570&d=xref&q=(%22%D0%A0%D0%BE%D1%81.%20%D0%B3%D0%BE%D1%81.%20%D0%B3%D1%83%D0%BC%D0%B0%D0%BD%D0%B8%D1%82%D0%B0%D1%80.%20%D1%83%D0%BD-%D1%82%22%20OR%20%22%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9%20%D0%B3%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9%20%D0%B3%D1%83%D0%BC%D0%B0%D0%BD%D0%B8%D1%82%D0%B0%D1%80%D0%BD%D1%8B%D0%B9%20%D1%83%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82%22)","История музейного дела в Бурятии : конец XIX-XXI в. : автореферат дис. ... кандидата исторических наук : 07.00.02 / Саяпарова Екатерина Владимировна; [Место защиты: Ин-т монголоведения, буддологии и тибетологии СО РАН]. - Улан-Удэ, 2012. - 22 с.","Саяпарова, Екатерина Владимировна.","Описание","https://search.rsl.ru/ru/record/01005010054"
"1653744324-157","https://search.rsl.ru/ru/search#yf=2004&s=pubyear&vc=07.00.02&l=570&d=xref&q=(%22%D0%A0%D0%BE%D1%81.%20%D0%B3%D0%BE%D1%81.%20%D0%B3%D1%83%D0%BC%D0%B0%D0%BD%D0%B8%D1%82%D0%B0%D1%80.%20%D1%83%D0%BD-%D1%82%22%20OR%20%22%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9%20%D0%B3%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9%20%D0%B3%D1%83%D0%BC%D0%B0%D0%BD%D0%B8%D1%82%D0%B0%D1%80%D0%BD%D1%8B%D0%B9%20%D1%83%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82%22)","Становление системы местного самоуправления в Москве и Московской области в конце XX - начале XXI вв. : автореферат дис. ... кандидата исторических наук : 07.00.02 / Раевская Александра Ревовна; [Место защиты: Моск. гос. ун-т им. М.В. Ломоносова]. - Москва, 2012. - 30 с.","Раевская, Александра Ревовна.","Описание","https://search.rsl.ru/ru/record/01005053212"
"1653744324-214","https://search.rsl.ru/ru/search#yf=2004&s=pubyear&vc=07.00.02&l=570&d=xref&q=(%22%D0%A0%D0%BE%D1%81.%20%D0%B3%D0%BE%D1%81.%20%D0%B3%D1%83%D0%BC%D0%B0%D0%BD%D0%B8%D1%82%D0%B0%D1%80.%20%D1%83%D0%BD-%D1%82%22%20OR%20%22%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9%20%D0%B3%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9%20%D0%B3%D1%83%D0%BC%D0%B0%D0%BD%D0%B8%D1%82%D0%B0%D1%80%D0%BD%D1%8B%D0%B9%20%D1%83%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82%22)","Предпринимательская деятельность русской эмиграции в США в 1945-1980-е годы : автореферат дис. ... кандидата исторических наук : 07.00.02 / Головкин Александр Андреевич; [Место защиты: Рос. ун-т дружбы народов]. - Москва, 2017. - 28 с.","Головкин, Александр Андреевич.","Описание","https://search.rsl.ru/ru/record/01008711557"
