web-scraper-order,web-scraper-start-url,title,author,link,link-href
"1652682024-887","https://search.rsl.ru/ru/search#yf=2004&s=pubyear&vc=07.00.02&l=570&d=xref&q=(%22%D0%A0%D0%BE%D1%81.%20%D0%B3%D0%BE%D1%81.%20%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D0%BB.%20%D1%83%D0%BD-%D1%82%22%20OR%20%22%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9%20%D0%B3%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9%20%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D1%83%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82%22)","Эволюция системы начального и среднего профессионального образования г. Москвы в постсоветский период : 1994-2008 гг. : автореферат дис. ... кандидата исторических наук : 07.00.02 / Бурхан Шауи Магул; [Место защиты: Рос. гос. социал. ун-т]. - Москва, 2010. - 29 с.","Бурхан Шауи Магул.","Описание","https://search.rsl.ru/ru/record/01004618772"
"1652682024-789","https://search.rsl.ru/ru/search#yf=2004&s=pubyear&vc=07.00.02&l=570&d=xref&q=(%22%D0%A0%D0%BE%D1%81.%20%D0%B3%D0%BE%D1%81.%20%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D0%BB.%20%D1%83%D0%BD-%D1%82%22%20OR%20%22%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9%20%D0%B3%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9%20%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D1%83%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82%22)","Эволюция благотворительности на Ставрополье в середине XIX - начале XX вв. : историко-социальный аспект : автореферат дис. ... доктора исторических наук : 07.00.02 / Бабенко Наталья Александровна; [Место защиты: Рос. гос. социал. ун-т]. - Москва, 2006. - 49 с.","Бабенко, Наталья Александровна.","Описание","https://search.rsl.ru/ru/record/01003066380"
"1652682024-947","https://search.rsl.ru/ru/search#yf=2004&s=pubyear&vc=07.00.02&l=570&d=xref&q=(%22%D0%A0%D0%BE%D1%81.%20%D0%B3%D0%BE%D1%81.%20%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D0%BB.%20%D1%83%D0%BD-%D1%82%22%20OR%20%22%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9%20%D0%B3%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9%20%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D1%83%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82%22)","Раскулачивание крестьянства в Борисоглебском округе Центрально-Чернозёмной области : первая половина 1930 г. : автореферат дис. ... кандидата исторических наук : 07.00.02 / Тимошечкина Елена Михайловна; [Место защиты: Воронеж. гос. ун-т]. - Воронеж, 2014. - 22 с.","Тимошечкина, Елена Михайловна.","Описание","https://search.rsl.ru/ru/record/01005550409"
"1652682024-913","https://search.rsl.ru/ru/search#yf=2004&s=pubyear&vc=07.00.02&l=570&d=xref&q=(%22%D0%A0%D0%BE%D1%81.%20%D0%B3%D0%BE%D1%81.%20%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D0%BB.%20%D1%83%D0%BD-%D1%82%22%20OR%20%22%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9%20%D0%B3%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9%20%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D1%83%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82%22)","Формирование института советской семьи как объекта государственной политики: 1917-1940 гг. : на материалах РСФСР : автореферат дис. ... кандидата исторических наук : 07.00.02 / Гуполов Юрий Витальевич; [Место защиты: Рос. гос. социал. ун-т]. - Москва, 2012. - 25 с.","Гуполов, Юрий Витальевич.","Описание","https://search.rsl.ru/ru/record/01005009443"
"1652682024-801","https://search.rsl.ru/ru/search#yf=2004&s=pubyear&vc=07.00.02&l=570&d=xref&q=(%22%D0%A0%D0%BE%D1%81.%20%D0%B3%D0%BE%D1%81.%20%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D0%BB.%20%D1%83%D0%BD-%D1%82%22%20OR%20%22%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9%20%D0%B3%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9%20%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D1%83%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82%22)","Новохоперский край: история и современность : автореферат дис. ... кандидата исторических наук : 07.00.02 / Воронеж. гос. пед. ун-т. - Воронеж, 2006. - 26 с.","Петров, Виктор Тихонович.","Описание","https://search.rsl.ru/ru/record/01003287959"
"1652682024-873","https://search.rsl.ru/ru/search#yf=2004&s=pubyear&vc=07.00.02&l=570&d=xref&q=(%22%D0%A0%D0%BE%D1%81.%20%D0%B3%D0%BE%D1%81.%20%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D0%BB.%20%D1%83%D0%BD-%D1%82%22%20OR%20%22%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9%20%D0%B3%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9%20%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D1%83%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82%22)","Советское военное сотрудничество с азиатскими странами : 1945-1991 г. : автореферат дис. ... кандидата исторических наук : 07.00.02 / Орехов Александр Александрович; [Место защиты: Рос. гос. социал. ун-т]. - Москва, 2010. - 22 с.","Орехов, Александр Александрович.","Описание","https://search.rsl.ru/ru/record/01003491537"
"1652682024-838","https://search.rsl.ru/ru/search#yf=2004&s=pubyear&vc=07.00.02&l=570&d=xref&q=(%22%D0%A0%D0%BE%D1%81.%20%D0%B3%D0%BE%D1%81.%20%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D0%BB.%20%D1%83%D0%BD-%D1%82%22%20OR%20%22%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9%20%D0%B3%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9%20%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D1%83%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82%22)","Земельные комитеты на юге России в 1917 - первой половине 1918 года : автореферат дис. ... доктора исторических наук : 07.00.02 / Артемов Сергей Николаевич; [Место защиты: Пятигор. гос. технол. ун-т]. - Пятигорск, 2008. - 50 с.","Артемов, Сергей Николаевич.","Описание","https://search.rsl.ru/ru/record/01003446244"
"1652682024-785","https://search.rsl.ru/ru/search#yf=2004&s=pubyear&vc=07.00.02&l=570&d=xref&q=(%22%D0%A0%D0%BE%D1%81.%20%D0%B3%D0%BE%D1%81.%20%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D0%BB.%20%D1%83%D0%BD-%D1%82%22%20OR%20%22%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9%20%D0%B3%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9%20%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D1%83%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82%22)","Вексиллологический комплекс военной организации Российского государства в системе исторических памятников : XVIII - начало XX вв. : автореферат дис. ... доктора исторических наук : 07.00.02 / Рос. гос. соц. ун-т. - Москва, 2005. - 51 с.","Комаровская, Елена Петровна.","Описание","https://search.rsl.ru/ru/record/01002974269"
"1652682024-811","https://search.rsl.ru/ru/search#yf=2004&s=pubyear&vc=07.00.02&l=570&d=xref&q=(%22%D0%A0%D0%BE%D1%81.%20%D0%B3%D0%BE%D1%81.%20%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D0%BB.%20%D1%83%D0%BD-%D1%82%22%20OR%20%22%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9%20%D0%B3%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9%20%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D1%83%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82%22)","Деятельность государственных органов Российской Федерации по осуществлению жилищного строительства в 1993-2004 гг. Историческое исследование : на материалах г. Москвы : автореферат дис. ... кандидата исторических наук : 07.00.02 / Кулоян Галина Петровна; [Место защиты: Воен. ун-т]. - Москва, 2007. - 24 с.","Кулоян, Галина Петровна.","Описание","https://search.rsl.ru/ru/record/01003063537"
"1652682024-902","https://search.rsl.ru/ru/search#yf=2004&s=pubyear&vc=07.00.02&l=570&d=xref&q=(%22%D0%A0%D0%BE%D1%81.%20%D0%B3%D0%BE%D1%81.%20%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D0%BB.%20%D1%83%D0%BD-%D1%82%22%20OR%20%22%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9%20%D0%B3%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9%20%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D1%83%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82%22)","Органы внутренних дел республик Северного Кавказа в борьбе с бандитизмом и уголовной преступностью в 1920-1930-е гг. : автореферат дис. ... кандидата исторических наук : 07.00.02 / Мусаев Мухтар Абдулаевич; [Место защиты: Моск. пед. гос. ун-т]. - Москва, 2011. - 24 с.","Мусаев, Мухтар Абдулаевич.","Описание","https://search.rsl.ru/ru/record/01004854977"
